refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
SOJKOT,OC=O,Co,3.679,2.18146,3.679,1.0,0.8507462686567164,0.002052420374564562,56.92590565361912,29
SOJKOT01,OC=O,Co,3.47216,3.17302,3.47216,0.6689013466085884,0.835820895522388,0.00199605761908822,55.725080134645914,29
SOJKOT02,OC=O,Co,3.48201,3.18874,3.47634,0.5285626722189123,0.8656716417910447,0.0023252663458832807,57.71310624021917,29
SOJKOT06,OC=O,Co,3.50219,1.83708,3.4956,0.4975539993253716,0.8805970149253731,0.0022793635324758047,58.91342182585014,29
SOJKOT07,OC=O,Co,3.58879,1.8722,3.58879,0.5464406775352455,0.7761194029850746,0.001677918946455363,51.91836084902741,29
SOJKOT08,OC=O,Co,3.60999,1.87573,3.60999,0.6657980208224966,0.9552238805970149,0.00286977899925741,63.89672313938678,29
SOKDON,OC(=O)c1cc(NCc2c(C)c(C)c(c(c2C)C)CNc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Zn,5.94324,5.39996,5.94234,0.6084492191985676,0.06371681415929203,3.7291710612898074e-06,59.813668759902676,1
SOKKOT,OC(=O)c1ccc(s1)C(=O)O,In,6.71184,6.34439,6.71184,0.9999955932563384,1.0,0.05416666666666666,7.989783137337364,241
SOKKUZ,OC(=O)c1ccc(s1)C(=O)O,In,6.70484,6.32665,6.70484,0.3212828697335843,0.75,0.021428571428571432,5.989866470179688,241
SOKWAS01,OC(=O)c1ccc(s1)C(=O)O,U,2.16324,0.98883,1.96285,0.0,1.0,0.0,0.998504148817629,145
SOLBOM,OC(=O)c1ccc(c(c1)C(F)(F)F)c1ccc(cc1C(F)(F)F)C(=O)O,Pb,6.35924,1.58991,6.35186,0.14961803017135522,0.14012738853503184,0.00018788927483890248,18.347711920113504,664
SOLBUS,OC(=O)c1ccc(c(c1)C(F)(F)F)c1ccc(cc1C(F)(F)F)C(=O)O,Pb,3.59548,1.39949,2.77897,0.15677947764420802,0.1464968152866242,0.00018539990446410262,19.202854994398223,664
SOLCAZ,OC(=O)c1ccc(c(c1)C(F)(F)F)c1ccc(cc1C(F)(F)F)C(=O)O,Pb,3.66799,1.33119,3.64637,0.14311604893705282,0.1337579617834395,0.00011451534430554611,17.773993047259115,664
SOLCED,OC(=O)c1ccc(c(c1)C(F)(F)F)c1ccc(cc1C(F)(F)F)C(=O)O,Pb,3.54271,1.35091,3.54271,0.17861388192516195,0.1656050955414013,0.0003015267199944697,21.829052018954407,664
SOMFAC,OC(=O)c1ccc(s1)C(=O)O,In,6.70637,6.34214,6.70637,0.34221191764080444,0.75,0.023809523809523808,5.999986710736293,241
SOMFIK,OC(=O)c1ccc(s1)C(=O)O,In,6.73279,6.35537,6.73279,1.0000000000000002,1.0,0.05416666666666666,7.989849121069485,241
SOMQUG,OC(=O)CCP(=O)(O)O,Co,2.13694,1.20489,2.13551,0.5315174979028954,0.76,0.15817688105381608,15.67886492311509,331
SOQRUM,OC(=O)c1cncc(c1)C(=O)O,Ni,3.16135,0.93046,3.16135,0.34611348648764106,0.25130890052356025,0.004264733060778927,41.122631604517316,33
SOQSAU,O=C1c2cc(ccc2c2c1cc(cc2)C(=O)O)C(=O)O,Zr,9.55153,4.97565,9.54951,0.2558842020665969,0.3672316384180791,0.0008800898796265442,54.16219249810956,442
SOQSAU01,O=C1c2cc(ccc2c2c1cc(cc2)C(=O)O)C(=O)O,Zr,9.887,4.76966,9.887,0.24383815537016826,0.3502824858757062,0.000836011245976607,51.64193654654545,442
SORCOS,OC(=O)c1ccc(cc1)NC[C@@H]1N=CN=C1,Zn,2.32977,1.37736,2.32231,0.13329240475033655,0.07610619469026549,1.6079535591610084e-06,68.9127447782468,1
SORXAA,OC(=O)c1ccc(c(c1N)N)C(=O)O,Pr,4.79392,3.34598,4.50589,0.1729271057360881,0.09,0.0005139661955114895,7.418049372397531,38
SOSPUN01,OC(=O)c1cc(ccc1c1ccc(cc1C(=O)O)C(=O)O)C(=O)O,Fe,2.11046,1.145,2.11046,0.5995690657402085,0.2753623188405797,0.015114528279420733,31.904778087574165,62
SOSQAU01,OC(=O)c1cc(ccc1c1ccc(cc1C(=O)O)C(=O)O)C(=O)O,Ni,2.04025,1.02469,2.02434,0.21222982410681274,0.15706806282722513,0.002570246502822167,25.27023048233742,33
SOSQEY01,OC(=O)c1cc(ccc1c1ccc(cc1C(=O)O)C(=O)O)C(=O)O,Cu,2.01362,1.07891,2.01194,0.1472825912831245,0.12417582417582418,0.0014359409466576044,93.12021333766081,15
SOSQIC01,OC(=O)c1cc(ccc1c1ccc(cc1C(=O)O)C(=O)O)C(=O)O,Zn,1.87976,0.83164,1.81443,0.6021228548620422,0.2336283185840708,0.003061245140673224,221.12258303541054,1
SOSQOI,OC(=O)c1cc(ccc1c1ccc(cc1C(=O)O)C(=O)O)C(=O)O,Pb,1.98829,1.09192,1.97904,0.3278121203008382,0.24203821656050956,0.0433010353214404,31.880788719838755,664
SOSSEA,Cc1ccc2c(n1)c(O)c(cc2c1ccncc1)c1ccncc1,Cd,4.66195,3.46039,4.66195,0.5209084159446771,0.012987012987012988,0.0,0.819211876618535,60
SOTMUK01,Cc1[nH]nc(n1)C,Ag,1.82959,1.20998,1.81971,0.19996759399132316,1.0,0.0,1.9923566755449909,385
SOTMUK02,Cc1nnc([nH]1)C,Ag,2.26842,1.67415,2.25827,0.0,1.0,0.0,0.9996351554507116,810
SOTXIK,OC(=O)c1cc(C#Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Eu,6.68307,3.84961,6.47362,0.24870395460006506,0.22357723577235775,0.002312299664967104,45.42202272012249,91
SOVWUX,CSc1ccc(cc1)C#Cc1cc(ccc1OCC(COc1ccc(cc1C#Cc1ccc(cc1)SC)C(=O)O)(COc1ccc(cc1C#Cc1ccc(cc1)SC)C(=O)O)COc1ccc(cc1C#Cc1ccc(cc1)SC)C(=O)O)C(=O)O,Pb,6.31179,1.82486,6.31179,0.0,1.0,0.0,0.9998508842062556,638
SOWCOY,OC(=O)c1cc(cc(c1)n1cnnc1)C(=O)O,Zn,4.75905,3.66642,4.75887,0.07535573328159528,0.08938053097345133,0.0002273716762544896,85.36373399628268,1
SOWCOY01,OC(=O)c1cc(cc(c1)n1cnnc1)C(=O)O,Zn,4.93273,3.95878,4.92819,0.132054329936483,0.08584070796460178,3.3232887678763614e-05,81.99057562302075,1
SOWWUY,OC(=O)CCCCCC(=O)O,Cs,2.32818,1.17584,2.32818,0.2,1.0,0.0,1.9350294523313571,451
SOWXAF,OC(=O)CCCCCC(=O)O,Rb,2.04925,0.96726,2.03898,0.3111154562555554,0.6666666666666666,0.0,1.8844961237877071,550
SOWXEJ,OC(=O)CCCCC(=O)O,Rb,1.88675,0.84585,1.88675,0.3110813223985839,0.3333333333333333,0.0,0.9017841425202432,550
SOWXUZ,OC(=O)CCCCCC(=O)O,Na,1.73482,0.91268,1.73482,0.31835450606005133,0.6000000000000001,0.003703703703703704,5.6862719979787215,490
SOWYEK01,OC(=O)CCCCCCC(=O)O,K,1.753,0.81176,1.75234,0.1997670909997055,1.0,0.0,1.9349258103959563,562
SOWYOU,OC(=O)CCCCCCCC(=O)O,Cs,2.37725,1.11187,2.21351,0.19956309058845534,1.0,0.0,1.9348879256730989,451
SOYFUJ,c1ccc(cn1)/C=N/n1cnnc1,Ag,4.60508,3.53241,4.56134,0.380438437521053,0.004545454545454545,0.0,0.8251499414421966,321
SOZHOG,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)O)C(=O)O,Cu,5.98483,4.5721,5.97294,0.2067886369613346,0.1758241758241758,0.0012210435292302586,135.82208392255697,15
SRFORA04,OC=O,Sr,1.27579,0.79848,1.14037,0.9997220606107096,1.0,0.05555555555555555,3.9974593456648453,215
SRFORA06,OC=O,Sr,1.8326,1.31045,1.83247,0.9998495589659346,1.0,0.05555555555555555,3.9960654608752946,215
