2025-05-16 11:21:37,854 - WARNING - Unknown metal Cd for node AQOJUL01, defaulting to Cu
2025-05-16 11:21:37,864 - WARNING - Unknown metal Cd for node AQORUV, defaulting to Cu
2025-05-16 11:21:37,865 - WARNING - Unknown metal Ni for node AQUCOG, defaulting to Cu
2025-05-16 11:21:37,866 - WARNING - Unknown metal Ni for node AQUCUM, defaulting to Cu
2025-05-16 11:21:37,867 - WARNING - Unknown metal Ni for node AQUDIB, defaulting to Cu
2025-05-16 11:21:37,870 - WARNING - Unknown metal Mn for node AQULEF, defaulting to Cu
2025-05-16 11:21:37,871 - WARNING - Unknown metal Ni for node AQULOP, defaulting to Cu
2025-05-16 11:21:37,875 - WARNING - Unknown metal Ni for node ARAJOU, defaulting to Cu
2025-05-16 11:21:37,880 - WARNING - Unknown metal Cd for node ARAXEX, defaulting to Cu
2025-05-16 11:21:37,885 - WARNING - Unknown metal Cd for node AROFAP, defaulting to Cu
2025-05-16 11:21:37,886 - WARNING - Unknown metal Cd for node AROFET, defaulting to Cu
2025-05-16 11:21:37,887 - WARNING - Unknown metal La for node AROVAE, defaulting to Cu
2025-05-16 11:21:37,889 - WARNING - Unknown metal Mn for node ARUJED, defaulting to Cu
2025-05-16 11:21:37,890 - WARNING - Unknown metal Mn for node ASACAZ, defaulting to Cu
2025-05-16 11:21:37,894 - WARNING - Unknown metal U for node ASAHEJ, defaulting to Cu
2025-05-16 11:21:37,897 - WARNING - Unknown metal Cd for node ASALOV, defaulting to Cu
2025-05-16 11:21:37,899 - WARNING - Unknown metal Cd for node ASEJIT, defaulting to Cu
2025-05-16 11:21:37,900 - WARNING - Unknown metal Cd for node ASEJOZ, defaulting to Cu
2025-05-16 11:21:37,901 - WARNING - Unknown metal Cd for node ASEJOZ01, defaulting to Cu
2025-05-16 11:21:37,902 - WARNING - Unknown metal Cd for node ASEKAM, defaulting to Cu
2025-05-16 11:21:37,905 - WARNING - Unknown metal La for node ASEMUG, defaulting to Cu
2025-05-16 11:21:37,906 - WARNING - Unknown metal La for node ASEMUG01, defaulting to Cu
2025-05-16 11:21:37,907 - WARNING - Unknown metal Dy for node ASIRAX, defaulting to Cu
2025-05-16 11:21:37,909 - WARNING - Unknown metal Mn for node ASIRUR, defaulting to Cu
2025-05-16 11:21:37,911 - WARNING - Unknown metal V for node ASOHUL, defaulting to Cu
2025-05-16 11:21:37,914 - WARNING - Unknown metal Ca for node ASOVEL, defaulting to Cu
2025-05-16 11:21:37,915 - WARNING - Unknown metal Eu for node ASUBIB, defaulting to Cu
2025-05-16 11:21:37,924 - WARNING - Unknown metal Nd for node ASUQOV, defaulting to Cu
2025-05-16 11:21:37,930 - WARNING - Unknown metal Gd for node ATEJOA, defaulting to Cu
2025-05-16 11:21:37,934 - WARNING - Unknown metal Gd for node ATEYOP, defaulting to Cu
2025-05-16 11:21:37,935 - WARNING - Unknown metal Ho for node ATEYUV, defaulting to Cu
2025-05-16 11:21:37,937 - WARNING - Unknown metal Er for node ATEZAC, defaulting to Cu
2025-05-16 11:21:37,938 - WARNING - Unknown metal Yb for node ATEZEG, defaulting to Cu
2025-05-16 11:21:37,939 - WARNING - Unknown metal Lu for node ATEZIK, defaulting to Cu
2025-05-16 11:21:37,941 - WARNING - Unknown metal Mn for node ATIBAG, defaulting to Cu
2025-05-16 11:21:37,942 - WARNING - Unknown metal Mn for node ATIBIO, defaulting to Cu
2025-05-16 11:21:37,943 - WARNING - Unknown metal Mn for node ATIBOU, defaulting to Cu
2025-05-16 11:21:37,944 - WARNING - Unknown metal Mn for node ATIBOU01, defaulting to Cu
2025-05-16 11:21:37,945 - WARNING - Unknown metal Mn for node ATIBOU02, defaulting to Cu
2025-05-16 11:21:37,946 - WARNING - Unknown metal Mn for node ATIBUA, defaulting to Cu
2025-05-16 11:21:37,948 - WARNING - Unknown metal Mn for node ATICAH, defaulting to Cu
2025-05-16 11:21:37,949 - WARNING - Unknown metal Mn for node ATICEL, defaulting to Cu
2025-05-16 11:21:37,950 - WARNING - Unknown metal La for node ATIJOC, defaulting to Cu
2025-05-16 11:21:37,951 - WARNING - Unknown metal Pr for node ATIJUI, defaulting to Cu
2025-05-16 11:21:37,954 - WARNING - Unknown metal Gd for node ATIKAP, defaulting to Cu
2025-05-16 11:21:37,955 - WARNING - Unknown metal Dy for node ATIKET, defaulting to Cu
2025-05-16 11:21:37,956 - WARNING - Unknown metal Y for node ATIKIX, defaulting to Cu
2025-05-16 11:21:37,957 - WARNING - Unknown metal Cd for node ATIXUX, defaulting to Cu
2025-05-16 11:21:37,959 - WARNING - Unknown metal V for node ATOTIM, defaulting to Cu
2025-05-16 11:21:37,962 - WARNING - Unknown metal In for node ATURIS, defaulting to Cu
2025-05-16 11:21:37,964 - WARNING - Unknown metal Eu for node ATUXEU, defaulting to Cu
2025-05-16 11:21:37,965 - WARNING - Unknown metal Ag for node AVAGIP, defaulting to Cu
2025-05-16 11:21:37,966 - WARNING - Unknown metal Ag for node AVAGUB, defaulting to Cu
2025-05-16 11:21:37,972 - WARNING - Unknown metal Nd for node AVAQAP, defaulting to Cu
2025-05-16 11:21:37,974 - WARNING - Unknown metal Nd for node AVAQAP01, defaulting to Cu
2025-05-16 11:21:37,975 - WARNING - Unknown metal Sm for node AVAQET, defaulting to Cu
2025-05-16 11:21:37,976 - WARNING - Unknown metal Cd for node AVAQIX, defaulting to Cu
2025-05-16 11:21:37,977 - WARNING - Unknown metal Cd for node AVAQIX01, defaulting to Cu
2025-05-16 11:21:37,978 - WARNING - Unknown metal Pb for node AVAXIF, defaulting to Cu
