refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Community ID,Gravity,Degree Centrality,Betweenness Centrality,Edge Weight Sum
SEKXUE,OC(=O)c1ccc(cc1)c1c(cc(cc1C(=O)O)C(=O)O)C(=O)O,Ag,1.84757,0.78,1.6851,1,0.27421777666735925,0.07079646017699115,0.0002865940731896616,13.260996060326557
SEKYEP,OC(=O)c1cc(OCCCCCCOc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cd,1.93967,1.02211,1.88392,16,0.42691884231609184,0.08766564729867483,0.0006296781520190605,72.26262609328025
SELLAZ,Cc1cc(ccc1c1ccc(cc1C)C(=O)O)C(=O)O,Zr,14.49316,13.09378,14.48471,18,0.28247896003929074,0.3932584269662921,0.0021585148632900777,59.17739067638241
SEMMIJ,OC(=O)c1ccc(s1)C(=O)O,Zr,22.81418,14.88441,22.81418,749,0.9980938955723998,1.0,0.013333333333333334,5.728771305473517
SEMNEF,OC(=O)c1cc(C#CC#Cc2ccc(cc2)C#Cc2cc(C#Cc3ccc(cc3)C#CC#Cc3cc(cc(c3)C(=O)O)C(=O)O)cc(c2)C#Cc2ccc(cc2)C#CC#Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,30.84624,12.93727,30.84618,3,0.08328150062316737,0.11223628691983123,6.822775280079624e-05,114.4588833967102
SEMNIJ,OC(=O)c1cc(C#Cc2ccc(cc2)C#Cc2ccc(cc2)c2cc(cc(c2)c2ccc(cc2)C#Cc2ccc(cc2)C#Cc2cc(cc(c2)C(=O)O)C(=O)O)c2ccc(cc2)C#Cc2ccc(cc2)C#Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,31.60547,13.58018,31.60451,3,0.4204921031494044,0.15864978902953586,0.00038660536018616333,160.33542565283338
SEMTIQ,n1ccc(cc1)c1[nH]nc(n1)c1cccnc1,Cu,4.28207,1.59936,4.28069,3,0.5420189617460294,0.014345991561181435,0.0009298373897437264,14.57579662300963
SENNIJ,OC(=O)C[C@@H](C(=O)O)O,Mn,1.9514,0.92259,1.9514,224,0.0,1.0,0.0,8.515296200186242
SENNOP,OC(=O)C[C@@H](C(=O)O)O,Mn,1.97116,0.94411,1.97116,224,0.3327864757673679,1.0,0.0,8.515798017296747
SENRUB,[C]c1c(c2c([C])c(c3cc(cc(c3)C(=O)O)C(=O)O)c(c(c2[C])c2cc(cc(c2)C(=O)O)C(=O)O)C)c([C])c(c(c1c1cc(cc(c1)C(=O)O)C(=O)O)C)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,10.24037,6.28028,10.24037,3,0.14157180799280164,0.09535864978902954,5.44679948687671e-07,95.10581703764656
SENSAI,[C]c1c(c2c([C])c(c3cc(cc(c3)C(=O)O)C(=O)O)c(c(c2[C])c2cc(cc(c2)C(=O)O)C(=O)O)[C])c([C])c(c(c1c1cc(cc(c1)C(=O)O)C(=O)O)[C])c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.32724,6.85296,11.01112,3,0.6686066110239457,0.13333333333333333,2.2187096675638807e-05,134.2826071038091
SENSEM,Cc1c(c2c(C)c(c3cc(cc(c3)C(=O)O)C(=O)O)c(c(c2C)c2cc(cc(c2)C(=O)O)C(=O)O)[C])c(C)c(c(c1c1cc(cc(c1)C(=O)O)C(=O)O)[C])c1cc(cc(c1)C(=O)O)C(=O)O,Cu,10.29391,5.92879,10.27799,3,0.18819067340967124,0.09535864978902954,5.44679948687671e-07,95.10895845709376
